               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.018494,           0.0090949,          0.00071185,             0.98502,             0.98875,             0.99376,             0.82392,            0.016597,           0.0063121,          0.00060288,             0.00769,             0.00769,             0.00769
                  37,             0.01736,           0.0087592,           0.0007551,             0.98773,             0.98932,             0.99147,              0.8293,            0.015976,           0.0058022,          0.00057347,            0.007624,            0.007624,            0.007624
                  38,            0.018368,           0.0089663,          0.00074315,             0.98095,             0.99152,             0.99413,               0.821,            0.016975,           0.0061184,          0.00049344,            0.007558,            0.007558,            0.007558
                  39,             0.01791,           0.0089436,          0.00068285,             0.98977,             0.98374,             0.99428,             0.83173,            0.016125,           0.0063472,          0.00059003,            0.007492,            0.007492,            0.007492
                  40,            0.017741,           0.0088643,          0.00071784,             0.98482,             0.99145,             0.99256,             0.81849,             0.01663,           0.0060078,          0.00057947,            0.007426,            0.007426,            0.007426
                  41,             0.01698,           0.0089985,          0.00065209,             0.98835,             0.98673,             0.99104,             0.82584,              0.0162,           0.0060985,          0.00053298,             0.00736,             0.00736,             0.00736
                  42,            0.017518,           0.0085472,          0.00066665,             0.98662,             0.98932,             0.99389,              0.8197,            0.016307,           0.0062058,          0.00050599,            0.007294,            0.007294,            0.007294
                  43,            0.017922,           0.0088263,          0.00064826,             0.98574,             0.98825,             0.99401,             0.81239,            0.016782,           0.0059697,          0.00060661,            0.007228,            0.007228,            0.007228
                  44,            0.017635,           0.0086991,          0.00070334,             0.98504,             0.98718,             0.98719,             0.82011,            0.016176,           0.0066134,          0.00067399,            0.007162,            0.007162,            0.007162
                  45,            0.016618,           0.0084891,          0.00068746,             0.98733,             0.98628,             0.98912,             0.82134,            0.016142,           0.0065663,          0.00052852,            0.007096,            0.007096,            0.007096
                  46,            0.017296,           0.0084314,          0.00065015,             0.98975,             0.98277,             0.99125,             0.82123,            0.016197,           0.0060629,          0.00050337,             0.00703,             0.00703,             0.00703
                  47,            0.017113,           0.0087002,          0.00066619,             0.99081,             0.98663,             0.99186,             0.82967,            0.016108,           0.0060519,          0.00048517,            0.006964,            0.006964,            0.006964
                  48,            0.017235,           0.0088295,          0.00062521,             0.98376,             0.98724,              0.9904,             0.82176,            0.015784,           0.0062127,          0.00054672,            0.006898,            0.006898,            0.006898
                  49,            0.016795,           0.0086646,           0.0006225,             0.98861,             0.98453,             0.99213,             0.82288,            0.015734,           0.0059765,          0.00049225,            0.006832,            0.006832,            0.006832
                  50,            0.016971,           0.0087346,          0.00061381,             0.98989,             0.98718,             0.99034,             0.82785,            0.015841,           0.0063028,          0.00049308,            0.006766,            0.006766,            0.006766
                  51,            0.016501,           0.0084071,          0.00056731,             0.98828,             0.98892,             0.99433,             0.82213,             0.01559,           0.0059981,           0.0004804,              0.0067,              0.0067,              0.0067
                  52,            0.016463,           0.0084562,          0.00057091,             0.98747,             0.98932,             0.99365,             0.82354,            0.015653,           0.0061008,          0.00047527,            0.006634,            0.006634,            0.006634
                  53,            0.016409,           0.0083889,          0.00057687,             0.98515,             0.99359,             0.99032,             0.82714,            0.015691,            0.005664,          0.00044593,            0.006568,            0.006568,            0.006568
                  54,             0.01643,           0.0085066,          0.00055137,             0.98965,             0.98428,             0.99022,             0.82779,            0.015796,           0.0060298,          0.00047459,            0.006502,            0.006502,            0.006502
                  55,            0.015963,           0.0083101,          0.00060049,             0.99042,             0.98652,             0.99083,              0.8322,            0.015535,           0.0059158,           0.0004497,            0.006436,            0.006436,            0.006436
                  56,            0.015864,           0.0082496,          0.00061187,             0.98981,              0.9844,              0.9898,             0.82705,            0.015495,           0.0060718,          0.00047329,             0.00637,             0.00637,             0.00637
                  57,            0.015779,           0.0082345,          0.00059018,             0.99032,             0.98718,             0.99106,             0.82678,            0.015863,           0.0061725,          0.00041768,            0.006304,            0.006304,            0.006304
                  58,            0.016328,           0.0082834,          0.00056378,             0.98858,             0.98718,             0.98899,             0.82767,            0.015673,           0.0062705,          0.00043292,            0.006238,            0.006238,            0.006238
                  59,            0.015983,           0.0083303,          0.00056288,             0.99007,             0.98504,             0.98766,             0.83082,            0.015329,           0.0065337,          0.00044237,            0.006172,            0.006172,            0.006172
                  60,            0.016333,           0.0081918,          0.00057642,             0.99125,             0.98531,             0.98769,             0.82889,            0.015725,           0.0065832,          0.00047952,            0.006106,            0.006106,            0.006106
                  61,             0.01557,           0.0079383,          0.00055094,             0.98748,             0.98718,              0.9883,             0.83334,            0.015267,           0.0064199,          0.00041858,             0.00604,             0.00604,             0.00604
                  62,            0.015772,           0.0082349,           0.0005171,             0.98865,             0.98932,             0.99251,              0.8426,            0.014981,           0.0059486,          0.00044946,            0.005974,            0.005974,            0.005974
                  63,            0.015411,            0.008237,          0.00053339,             0.98854,             0.98932,             0.99084,             0.83827,            0.015157,           0.0057959,          0.00038776,            0.005908,            0.005908,            0.005908
                  64,            0.015163,           0.0081401,          0.00049355,              0.9913,             0.98757,              0.9943,             0.83936,            0.014968,           0.0058861,          0.00039606,            0.005842,            0.005842,            0.005842
                  65,            0.015231,           0.0082076,          0.00052873,             0.99011,             0.98291,              0.9894,             0.83742,            0.015465,           0.0063699,          0.00043929,            0.005776,            0.005776,            0.005776
                  66,            0.015368,           0.0079619,          0.00052804,              0.9882,             0.98718,             0.99078,             0.83889,            0.014917,           0.0060301,          0.00040824,             0.00571,             0.00571,             0.00571
                  67,            0.015062,           0.0080608,          0.00053513,             0.99438,             0.98588,             0.99073,             0.83537,            0.015195,           0.0061094,          0.00042458,            0.005644,            0.005644,            0.005644
                  68,            0.014787,           0.0079377,          0.00052751,             0.99553,             0.98077,              0.9919,             0.84103,            0.015103,           0.0058319,           0.0004022,            0.005578,            0.005578,            0.005578
                  69,            0.015274,            0.008072,          0.00052647,             0.99069,              0.9868,             0.98891,             0.83429,            0.015102,           0.0063367,          0.00041677,            0.005512,            0.005512,            0.005512
                  70,            0.014986,           0.0081707,          0.00051899,             0.98935,             0.98718,             0.99153,             0.82915,            0.014954,           0.0063019,          0.00039575,            0.005446,            0.005446,            0.005446
                  71,            0.015044,           0.0078327,          0.00046686,             0.98949,             0.98652,              0.9911,             0.83426,            0.014958,           0.0059403,          0.00041706,             0.00538,             0.00538,             0.00538
                  72,            0.015228,           0.0080098,          0.00057009,             0.98816,              0.9875,             0.99115,             0.84212,            0.015226,           0.0056306,          0.00040481,            0.005314,            0.005314,            0.005314
                  73,            0.014626,           0.0078547,          0.00044911,             0.98726,             0.98718,              0.9903,             0.84493,            0.015042,            0.005859,          0.00040428,            0.005248,            0.005248,            0.005248
                  74,            0.014728,           0.0078402,          0.00050341,             0.98821,             0.98504,             0.99045,             0.83397,             0.01498,            0.006149,            0.000382,            0.005182,            0.005182,            0.005182
                  75,             0.01423,           0.0078271,          0.00041931,             0.99133,             0.98718,             0.99017,             0.83466,            0.015114,            0.006132,           0.0003744,            0.005116,            0.005116,            0.005116
                  76,            0.014467,           0.0080029,          0.00046154,             0.99466,             0.98368,             0.99046,             0.83863,            0.014906,           0.0058472,          0.00039403,             0.00505,             0.00505,             0.00505
                  77,            0.014306,           0.0076645,          0.00048905,             0.99432,             0.98401,               0.991,             0.84251,            0.015222,           0.0061718,          0.00036639,            0.004984,            0.004984,            0.004984
                  78,            0.014401,           0.0075646,          0.00045958,             0.98786,             0.98718,             0.98792,              0.8427,            0.015002,           0.0063757,          0.00038083,            0.004918,            0.004918,            0.004918
                  79,            0.014596,           0.0077486,          0.00046566,              0.9886,             0.98718,             0.99072,             0.84397,            0.014641,           0.0059929,          0.00038252,            0.004852,            0.004852,            0.004852
                  80,            0.013974,           0.0078524,          0.00044324,             0.98871,             0.98718,             0.99084,             0.84066,            0.014835,           0.0058847,          0.00036229,            0.004786,            0.004786,            0.004786
                  81,            0.014233,           0.0078163,          0.00046908,             0.98727,             0.98718,             0.99111,             0.84676,            0.014763,           0.0060046,          0.00038517,             0.00472,             0.00472,             0.00472
                  82,            0.014512,           0.0078699,          0.00049621,              0.9895,             0.98475,             0.98935,             0.83402,            0.015093,           0.0057441,          0.00034976,            0.004654,            0.004654,            0.004654
                  83,            0.013842,            0.007595,          0.00053019,             0.99098,             0.98421,             0.98994,             0.84456,            0.014923,           0.0057877,          0.00034607,            0.004588,            0.004588,            0.004588
                  84,            0.014158,           0.0076432,          0.00050481,             0.99219,             0.98718,             0.99024,             0.84142,            0.015016,           0.0061046,          0.00034019,            0.004522,            0.004522,            0.004522
                  85,            0.014166,           0.0077529,           0.0004489,              0.9892,             0.98718,             0.99021,             0.84327,            0.014836,           0.0059252,           0.0003662,            0.004456,            0.004456,            0.004456
                  86,            0.013797,           0.0076086,          0.00044358,             0.99069,             0.98718,             0.99028,             0.84475,            0.014723,           0.0057321,          0.00035416,             0.00439,             0.00439,             0.00439
                  87,            0.013671,           0.0075051,           0.0004568,             0.99154,             0.98504,               0.991,             0.84281,            0.014876,           0.0057446,          0.00033249,            0.004324,            0.004324,            0.004324
                  88,            0.013569,           0.0075807,          0.00042247,             0.98952,             0.98718,             0.98893,             0.83938,            0.014886,           0.0064071,          0.00035778,            0.004258,            0.004258,            0.004258
                  89,            0.013769,           0.0077248,          0.00039459,             0.98947,             0.98718,              0.9899,             0.84901,            0.014766,           0.0058385,            0.000334,            0.004192,            0.004192,            0.004192
                  90,            0.013725,           0.0074898,          0.00040241,             0.99118,             0.98173,             0.99102,             0.84528,            0.014819,           0.0059995,          0.00032888,            0.004126,            0.004126,            0.004126
                  91,            0.013589,           0.0075933,          0.00040517,             0.99067,              0.9835,             0.99035,              0.8379,            0.014606,           0.0057651,          0.00032529,             0.00406,             0.00406,             0.00406
                  92,            0.013558,            0.007535,          0.00041661,             0.99026,             0.98668,             0.99095,             0.84747,            0.014706,           0.0059995,          0.00032221,            0.003994,            0.003994,            0.003994
                  93,            0.013748,           0.0072835,          0.00039987,             0.99575,             0.98475,             0.99123,             0.83949,            0.015335,           0.0060687,          0.00035063,            0.003928,            0.003928,            0.003928
                  94,            0.013457,           0.0075732,          0.00043337,             0.99128,             0.98718,              0.9911,             0.84374,            0.014717,           0.0060982,          0.00036651,            0.003862,            0.003862,            0.003862
                  95,            0.013738,           0.0073937,          0.00043976,             0.98954,             0.98504,             0.99104,             0.84082,            0.014808,           0.0061124,          0.00033822,            0.003796,            0.003796,            0.003796
                  96,            0.013305,           0.0076618,          0.00040819,             0.99082,             0.98718,                0.99,             0.84522,            0.014547,           0.0058385,          0.00031098,             0.00373,             0.00373,             0.00373
                  97,             0.01318,           0.0074255,          0.00037744,                0.99,             0.98734,             0.99033,             0.84694,            0.014784,           0.0061499,          0.00032304,            0.003664,            0.003664,            0.003664
                  98,            0.013173,           0.0072866,          0.00038159,             0.99121,             0.98603,             0.99043,              0.8476,            0.014614,           0.0063234,          0.00036253,            0.003598,            0.003598,            0.003598
                  99,            0.013197,           0.0075057,          0.00039584,             0.99119,             0.98508,             0.98785,             0.84496,            0.014812,           0.0064571,          0.00032863,            0.003532,            0.003532,            0.003532
                 100,            0.013046,           0.0074783,          0.00033996,              0.9913,             0.98718,             0.99027,             0.84073,             0.01466,           0.0058015,          0.00031029,            0.003466,            0.003466,            0.003466
                 101,            0.012978,           0.0073911,          0.00035973,             0.98866,             0.98543,             0.98952,             0.84301,            0.014723,           0.0063549,          0.00034363,              0.0034,              0.0034,              0.0034
                 102,            0.013465,           0.0075365,          0.00040204,             0.99018,             0.98543,             0.98997,             0.84459,            0.014643,           0.0058017,          0.00033629,            0.003334,            0.003334,            0.003334
                 103,            0.013117,           0.0072305,          0.00039035,             0.98893,             0.98694,             0.98999,             0.84325,            0.014959,           0.0059751,          0.00034183,            0.003268,            0.003268,            0.003268
                 104,            0.013295,           0.0072882,          0.00040833,             0.99053,             0.98309,             0.99025,             0.84687,            0.014596,           0.0060119,          0.00032161,            0.003202,            0.003202,            0.003202
                 105,            0.012912,           0.0071782,           0.0003938,             0.98953,             0.98695,             0.98934,             0.84371,            0.014693,           0.0062802,           0.0003238,            0.003136,            0.003136,            0.003136
                 106,            0.012776,           0.0072462,          0.00036099,             0.99057,             0.98718,             0.99036,             0.84804,             0.01452,            0.006069,          0.00031019,             0.00307,             0.00307,             0.00307
                 107,            0.012883,           0.0074402,          0.00037772,              0.9889,             0.98693,             0.98811,             0.84814,            0.014407,           0.0064571,          0.00032412,            0.003004,            0.003004,            0.003004
                 108,            0.012868,            0.007112,          0.00037283,             0.98875,             0.98761,             0.98839,              0.8407,            0.014626,           0.0063452,          0.00030665,            0.002938,            0.002938,            0.002938
                 109,            0.012771,           0.0071845,          0.00035488,             0.99079,             0.98599,             0.99065,             0.84733,            0.014664,            0.006057,            0.000283,            0.002872,            0.002872,            0.002872
                 110,            0.012716,           0.0070914,          0.00034279,             0.99066,             0.98556,             0.98805,             0.84303,            0.014729,           0.0062593,          0.00028528,            0.002806,            0.002806,            0.002806
                 111,            0.012569,           0.0072302,          0.00030417,             0.99075,             0.98718,             0.98704,             0.84427,            0.014712,           0.0063684,          0.00030222,             0.00274,             0.00274,             0.00274
                 112,            0.012482,           0.0071966,           0.0003192,             0.98973,             0.98718,             0.98703,             0.84669,            0.014933,           0.0064682,          0.00029653,            0.002674,            0.002674,            0.002674
                 113,            0.012625,            0.007077,          0.00035574,             0.98922,             0.98554,             0.98648,             0.84435,            0.014816,           0.0063802,          0.00028363,            0.002608,            0.002608,            0.002608
                 114,            0.012709,           0.0070971,          0.00039944,             0.98792,             0.98674,             0.98909,             0.84428,            0.014843,           0.0064215,          0.00027837,            0.002542,            0.002542,            0.002542
                 115,            0.012418,           0.0071022,          0.00031744,             0.99023,             0.98665,             0.98827,             0.84475,            0.014612,           0.0063553,          0.00029002,            0.002476,            0.002476,            0.002476
                 116,            0.012292,           0.0071247,          0.00033046,             0.99018,             0.98077,             0.98681,             0.85051,            0.014636,            0.006481,          0.00030156,             0.00241,             0.00241,             0.00241
                 117,            0.012507,            0.006842,          0.00033048,             0.99045,             0.98718,             0.98644,             0.84556,            0.014867,            0.006561,          0.00031431,            0.002344,            0.002344,            0.002344
                 118,             0.01234,           0.0069729,          0.00033435,             0.99059,             0.98718,             0.98693,             0.85074,            0.014684,           0.0065996,          0.00032046,            0.002278,            0.002278,            0.002278
                 119,            0.012496,           0.0071074,          0.00038319,             0.99619,             0.98077,             0.98754,             0.85036,            0.014664,           0.0064557,          0.00029876,            0.002212,            0.002212,            0.002212
                 120,            0.012142,           0.0069583,          0.00033575,             0.98984,             0.98718,             0.99019,             0.84447,            0.014747,           0.0062321,          0.00027374,            0.002146,            0.002146,            0.002146
                 121,            0.012296,           0.0070152,          0.00034209,             0.98872,             0.98718,             0.98692,             0.84606,            0.014644,           0.0065166,          0.00028012,             0.00208,             0.00208,             0.00208
                 122,             0.01206,           0.0069279,          0.00032789,               0.991,             0.98718,             0.98781,             0.84222,            0.014738,            0.006536,          0.00029078,            0.002014,            0.002014,            0.002014
                 123,            0.012247,           0.0068614,          0.00034088,              0.9896,             0.98718,             0.98745,             0.84419,            0.014708,           0.0065228,          0.00028962,            0.001948,            0.001948,            0.001948
                 124,            0.012289,           0.0071285,          0.00033274,             0.99085,             0.98718,             0.98697,             0.84523,            0.014653,           0.0065364,          0.00030139,            0.001882,            0.001882,            0.001882
