# TRAIN_ACC	VAL_ACC
0.0048	0.0279
0.0429	0.0366
0.0486	0.0400
0.0504	0.0408
0.0513	0.0416
0.0516	0.0411
0.0515	0.0409
0.0516	0.0412
0.0517	0.0415
0.0519	0.0418
0.0522	0.0424
0.0527	0.0439
0.0534	0.0450
0.0547	0.0499
0.0568	0.0510
0.0591	0.0531
0.0602	0.0548
0.0610	0.0549
0.0613	0.0554
0.0618	0.0564
0.0618	0.0550
0.0610	0.0542
0.0618	0.0540
0.0603	0.0520
0.0598	0.0528
0.0597	0.0515
0.0590	0.0493
0.0585	0.0488
0.0575	0.0487
0.0570	0.0478
