# TRAIN_LOSS	VAL_LOSS
40.2611	25.8132
21.5875	13.0816
10.3220	5.5966
4.5893	3.5936
3.4183	2.9187
3.3214	3.5306
5.2216	4.0290
5.7245	3.7443
5.6296	3.3781
5.6031	3.1618
5.5559	2.9456
5.4102	2.3988
4.3338	1.7448
3.0620	1.3261
2.2357	1.0448
1.7919	0.9096
1.5895	0.8442
1.4420	0.7704
1.2089	0.6709
0.9227	0.4789
