# TRAIN_ACC	VAL_ACC
0.0001	0.0001
0.0001	0.0000
0.0002	0.0000
0.0002	0.0001
0.0001	0.0002
0.0001	0.0003
0.0002	0.0002
0.0003	0.0006
0.0006	0.0017
0.0019	0.0070
0.0100	0.0495
0.2535	0.4566
0.5646	0.5709
0.6525	0.6404
0.7085	0.6920
0.7429	0.7049
0.7432	0.6830
0.7156	0.6287
0.6502	0.4538
0.3945	0.2426
