               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.017953,           0.0091069,          0.00071542,             0.98657,             0.98863,             0.99137,              0.8177,            0.017109,           0.0065728,          0.00065571,            0.006535,            0.006535,            0.006535
                  37,            0.017501,           0.0088572,          0.00069764,             0.98683,             0.99061,             0.99273,             0.83343,            0.016237,           0.0057505,          0.00051588,            0.006436,            0.006436,            0.006436
                  38,             0.01711,           0.0088415,          0.00069106,              0.9836,             0.99473,             0.99444,             0.82377,            0.016742,           0.0059951,          0.00055104,            0.006337,            0.006337,            0.006337
                  39,            0.017187,           0.0088421,          0.00065372,             0.98603,             0.99083,             0.99407,             0.83763,            0.015678,           0.0059344,           0.0005604,            0.006238,            0.006238,            0.006238
                  40,            0.016861,           0.0087785,          0.00065059,             0.98841,             0.98718,             0.99198,             0.83193,            0.015711,           0.0062598,          0.00053354,            0.006139,            0.006139,            0.006139
                  41,            0.016875,           0.0089657,          0.00063203,             0.99053,             0.98245,             0.99234,             0.82718,            0.016309,           0.0063545,          0.00049593,             0.00604,             0.00604,             0.00604
                  42,            0.016926,            0.008455,           0.0006128,             0.97978,             0.98291,             0.99066,             0.82101,            0.016364,           0.0063375,          0.00050783,            0.005941,            0.005941,            0.005941
                  43,            0.016312,           0.0085865,          0.00056604,             0.98724,             0.98972,             0.99409,             0.82973,            0.015949,           0.0057563,          0.00047201,            0.005842,            0.005842,            0.005842
                  44,            0.016696,           0.0085199,          0.00064531,             0.99779,             0.98051,             0.98821,             0.83424,            0.015863,           0.0066193,           0.0006279,            0.005743,            0.005743,            0.005743
                  45,            0.015995,           0.0083677,          0.00060161,             0.99024,             0.98504,             0.98875,             0.82122,            0.016268,           0.0067111,          0.00053541,            0.005644,            0.005644,            0.005644
                  46,            0.015922,           0.0082263,          0.00058885,             0.99025,             0.98504,             0.99243,             0.83618,            0.015936,           0.0060546,          0.00045181,            0.005545,            0.005545,            0.005545
                  47,             0.01605,           0.0084869,          0.00062206,             0.98923,             0.98504,             0.99165,             0.83622,            0.015909,           0.0062388,          0.00044399,            0.005446,            0.005446,            0.005446
                  48,            0.015781,           0.0085315,          0.00056857,             0.98681,             0.98437,             0.99016,             0.83863,            0.015451,           0.0064324,          0.00047764,            0.005347,            0.005347,            0.005347
                  49,            0.015814,             0.00849,          0.00058669,             0.99016,             0.97992,             0.99074,             0.83372,            0.015742,           0.0059849,          0.00045855,            0.005248,            0.005248,            0.005248
                  50,            0.015814,           0.0084392,          0.00053612,             0.98823,             0.98566,             0.99101,             0.83451,            0.015768,           0.0058089,          0.00041597,            0.005149,            0.005149,            0.005149
                  51,            0.015506,           0.0081746,          0.00055273,              0.9888,             0.99337,             0.99392,             0.83644,            0.015587,           0.0054785,          0.00041591,             0.00505,             0.00505,             0.00505
                  52,            0.015501,           0.0082594,          0.00050282,             0.98631,             0.98559,             0.99145,             0.82621,            0.015607,           0.0059417,          0.00042126,            0.004951,            0.004951,            0.004951
                  53,            0.015226,           0.0081798,           0.0005338,             0.98808,             0.99329,             0.99068,             0.83832,            0.015724,           0.0055272,          0.00041484,            0.004852,            0.004852,            0.004852
                  54,            0.015569,           0.0082999,          0.00050356,             0.98336,             0.99145,             0.99041,             0.84305,            0.015575,           0.0057267,          0.00042229,            0.004753,            0.004753,            0.004753
                  55,            0.014793,           0.0080587,          0.00050699,             0.98871,              0.9886,             0.99068,             0.83919,            0.015261,           0.0056769,          0.00039021,            0.004654,            0.004654,            0.004654
                  56,            0.014827,           0.0080194,          0.00051225,             0.99027,             0.98657,             0.98893,             0.83757,            0.015436,           0.0059348,          0.00040284,            0.004555,            0.004555,            0.004555
                  57,            0.015172,           0.0081421,          0.00054999,             0.99062,             0.98653,             0.99142,             0.83816,            0.015598,           0.0058971,           0.0003737,            0.004456,            0.004456,            0.004456
                  58,            0.015218,           0.0080815,          0.00050399,             0.99133,             0.98185,             0.99133,             0.84392,            0.015409,           0.0057875,          0.00036886,            0.004357,            0.004357,            0.004357
                  59,            0.014769,           0.0080822,          0.00049055,             0.98755,             0.98718,             0.99099,             0.83836,            0.015285,           0.0060879,          0.00038255,            0.004258,            0.004258,            0.004258
                  60,            0.014979,           0.0079224,          0.00049768,             0.99544,             0.98504,             0.98867,             0.83729,            0.015375,           0.0062209,          0.00039222,            0.004159,            0.004159,            0.004159
                  61,            0.014573,            0.007665,          0.00046508,             0.99456,             0.98734,              0.9914,             0.84147,            0.015008,           0.0059648,          0.00037018,             0.00406,             0.00406,             0.00406
                  62,            0.014426,           0.0079131,          0.00044335,             0.98727,             0.98932,             0.99128,             0.84098,            0.014877,           0.0061907,          0.00038087,            0.003961,            0.003961,            0.003961
                  63,            0.014486,            0.008042,          0.00046827,             0.99093,             0.98504,             0.99146,              0.8472,            0.015069,           0.0059719,          0.00034496,            0.003862,            0.003862,            0.003862
                  64,            0.014287,           0.0079343,          0.00046939,              0.9936,             0.98856,             0.99443,             0.84498,            0.014796,           0.0056116,           0.0003192,            0.003763,            0.003763,            0.003763
                  65,            0.014251,           0.0079094,          0.00045497,             0.99395,             0.98499,             0.99212,              0.8448,             0.01498,           0.0059383,          0.00033371,            0.003664,            0.003664,            0.003664
                  66,            0.014274,           0.0076845,          0.00043345,             0.99769,              0.9846,             0.98976,             0.84685,            0.014762,           0.0061189,           0.0003316,            0.003565,            0.003565,            0.003565
                  67,            0.013993,           0.0078556,          0.00043568,             0.99754,             0.98557,             0.99121,             0.85001,            0.014898,           0.0060166,          0.00033168,            0.003466,            0.003466,            0.003466
                  68,            0.013725,           0.0076842,          0.00040816,             0.99661,             0.98463,              0.9919,             0.84996,            0.014662,           0.0057147,          0.00030901,            0.003367,            0.003367,            0.003367
                  69,            0.013881,            0.007768,          0.00045745,             0.99578,             0.98536,             0.99156,             0.84832,            0.014718,           0.0058819,          0.00030627,            0.003268,            0.003268,            0.003268
                  70,            0.013878,            0.007888,          0.00043186,             0.99648,             0.98504,             0.99183,             0.84122,             0.01472,           0.0060347,          0.00031521,            0.003169,            0.003169,            0.003169
                  71,            0.013682,           0.0075706,          0.00036804,              0.9898,             0.98504,             0.99104,             0.85274,             0.01486,           0.0060158,          0.00029513,             0.00307,             0.00307,             0.00307
                  72,            0.013939,           0.0076888,          0.00041852,             0.98977,             0.98504,             0.99097,             0.84817,            0.014961,           0.0057117,          0.00029503,            0.002971,            0.002971,            0.002971
                  73,            0.013434,           0.0075893,          0.00035895,             0.99022,             0.98504,             0.99141,              0.8492,            0.014929,           0.0056494,          0.00030671,            0.002872,            0.002872,            0.002872
                  74,            0.013604,           0.0076081,          0.00040163,             0.99029,             0.98504,             0.99083,             0.84466,            0.014774,           0.0058618,          0.00029102,            0.002773,            0.002773,            0.002773
                  75,            0.013148,           0.0075618,           0.0003427,             0.99037,             0.98504,              0.9903,             0.85389,            0.014851,           0.0060553,          0.00030084,            0.002674,            0.002674,            0.002674
                  76,            0.013263,           0.0077676,          0.00036666,             0.99545,             0.98415,             0.99017,             0.84753,            0.014733,           0.0059712,          0.00028287,            0.002575,            0.002575,            0.002575
                  77,            0.013183,           0.0074541,          0.00039266,             0.99505,             0.98504,             0.99046,             0.84378,            0.014835,           0.0058811,          0.00027153,            0.002476,            0.002476,            0.002476
                  78,            0.013234,           0.0073126,          0.00039185,             0.99433,             0.98526,             0.99017,             0.84995,            0.014801,           0.0059708,          0.00027652,            0.002377,            0.002377,            0.002377
                  79,            0.013102,           0.0074075,          0.00037128,             0.99279,             0.98441,             0.99062,             0.84383,            0.014786,           0.0060806,          0.00027421,            0.002278,            0.002278,            0.002278
                  80,            0.013028,            0.007632,          0.00035408,             0.99272,             0.98505,             0.99007,             0.84234,            0.014857,           0.0062424,          0.00028329,            0.002179,            0.002179,            0.002179
                  81,            0.012968,           0.0075551,          0.00036065,             0.99229,             0.98414,             0.99012,              0.8484,             0.01471,           0.0062181,          0.00028935,             0.00208,             0.00208,             0.00208
                  82,             0.01317,            0.007541,          0.00038412,             0.99113,             0.98498,             0.99073,             0.84695,            0.014731,           0.0061502,          0.00027012,            0.001981,            0.001981,            0.001981
                  83,            0.012875,           0.0072857,          0.00038628,             0.98999,             0.98504,             0.99079,              0.8502,            0.014571,           0.0061613,          0.00026692,            0.001882,            0.001882,            0.001882
                  84,            0.012875,           0.0073341,          0.00036636,             0.99041,             0.98504,             0.99086,             0.84913,            0.014656,           0.0061993,          0.00026341,            0.001783,            0.001783,            0.001783
                  85,            0.012917,           0.0074172,          0.00034462,             0.99005,             0.98504,             0.98999,             0.85305,            0.014632,           0.0063034,          0.00026257,            0.001684,            0.001684,            0.001684
                  86,            0.012743,           0.0073656,          0.00031864,             0.99038,             0.98291,             0.99078,             0.84928,            0.014583,           0.0061085,          0.00026832,            0.001585,            0.001585,            0.001585
                  87,             0.01275,           0.0072455,          0.00035157,             0.99077,             0.98504,             0.99029,              0.8479,            0.014641,           0.0060699,          0.00025846,            0.001486,            0.001486,            0.001486
                  88,            0.012574,           0.0072902,          0.00033701,             0.99085,              0.9846,             0.99017,             0.85122,            0.014832,            0.006191,          0.00027092,            0.001387,            0.001387,            0.001387
                  89,            0.012754,           0.0074291,          0.00031359,             0.99029,             0.98504,             0.99015,             0.84902,             0.01493,           0.0060595,          0.00025851,            0.001288,            0.001288,            0.001288
                  90,            0.012567,           0.0072361,          0.00032057,             0.98981,             0.98504,             0.99058,             0.85305,            0.014609,           0.0059482,          0.00024633,            0.001189,            0.001189,            0.001189
                  91,            0.012567,           0.0073469,          0.00031525,             0.99084,             0.98494,             0.99002,             0.85406,            0.014584,           0.0058095,          0.00023987,             0.00109,             0.00109,             0.00109
                  92,            0.012653,           0.0072942,          0.00034521,             0.99208,             0.98393,             0.99024,             0.85196,            0.014635,           0.0057917,          0.00023809,            0.000991,            0.000991,            0.000991
                  93,            0.012459,           0.0069818,          0.00032395,             0.99541,             0.98504,             0.99099,             0.85644,            0.014701,           0.0059381,          0.00024233,            0.000892,            0.000892,            0.000892
                  94,            0.012528,            0.007327,          0.00034298,             0.99313,             0.98221,              0.9909,             0.85726,            0.014635,           0.0057799,          0.00023886,            0.000793,            0.000793,            0.000793
                  95,             0.01255,            0.007096,          0.00036146,             0.98981,             0.98504,             0.99028,             0.85727,            0.014492,           0.0060339,          0.00024227,            0.000694,            0.000694,            0.000694
                  96,            0.012368,             0.00736,          0.00033865,             0.99122,             0.98504,              0.9904,             0.85716,             0.01439,           0.0058854,          0.00023719,            0.000595,            0.000595,            0.000595
                  97,             0.01229,           0.0071968,          0.00031769,              0.9908,             0.98504,             0.99122,             0.85322,            0.014473,           0.0058738,          0.00023436,            0.000496,            0.000496,            0.000496
                  98,            0.012298,           0.0070727,          0.00031438,             0.99125,             0.98504,             0.99116,             0.85716,            0.014503,           0.0058672,          0.00024121,            0.000397,            0.000397,            0.000397
                  99,            0.012216,            0.007238,          0.00034695,             0.99245,             0.98504,             0.99026,             0.85612,            0.014497,           0.0059509,          0.00024057,            0.000298,            0.000298,            0.000298
