               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.020062,           0.0099053,          0.00075248,             0.98517,              0.9934,             0.99455,             0.81475,            0.016596,           0.0061231,          0.00059501,             0.00769,             0.00769,             0.00769
                  37,            0.019337,            0.010222,          0.00076735,             0.98993,             0.98932,             0.98907,             0.80565,            0.016951,           0.0060827,          0.00058809,            0.007624,            0.007624,            0.007624
                  38,             0.01967,           0.0096184,          0.00077988,             0.98512,             0.99205,             0.99455,             0.80599,            0.017245,            0.006112,          0.00056823,            0.007558,            0.007558,            0.007558
                  39,             0.01973,            0.010005,          0.00084487,             0.98225,             0.99145,              0.9944,             0.80992,            0.016776,            0.006377,          0.00056516,            0.007492,            0.007492,            0.007492
                  40,            0.019848,           0.0098018,          0.00078723,             0.98728,             0.99054,             0.99356,             0.81228,            0.017237,           0.0060765,          0.00059901,            0.007426,            0.007426,            0.007426
                  41,            0.019597,           0.0099271,          0.00079244,             0.98489,             0.99396,             0.99464,             0.80633,            0.017179,           0.0061012,          0.00056129,             0.00736,             0.00736,             0.00736
                  42,            0.019734,            0.010022,          0.00074137,             0.98154,             0.99502,             0.99461,              0.8223,            0.016662,           0.0059974,          0.00054707,            0.007294,            0.007294,            0.007294
                  43,            0.018759,           0.0097318,          0.00074328,              0.9897,             0.98846,             0.99458,              0.8261,            0.016003,           0.0062341,          0.00057605,            0.007228,            0.007228,            0.007228
                  44,            0.019146,           0.0097136,          0.00075089,             0.99352,             0.98795,             0.99449,              0.8148,              0.0169,             0.00633,          0.00051248,            0.007162,            0.007162,            0.007162
                  45,            0.018636,           0.0094688,          0.00068619,             0.97855,             0.99165,              0.9944,             0.81202,            0.016805,           0.0060022,          0.00055318,            0.007096,            0.007096,            0.007096
                  46,            0.019036,           0.0096446,          0.00069568,             0.98203,             0.99573,             0.99436,             0.82661,            0.016506,           0.0059485,          0.00051486,             0.00703,             0.00703,             0.00703
                  47,            0.018314,           0.0094434,           0.0006966,             0.98474,              0.9942,             0.99462,             0.82305,            0.016455,           0.0059707,          0.00048424,            0.006964,            0.006964,            0.006964
                  48,            0.018589,           0.0097097,          0.00060882,             0.98652,             0.99359,             0.99457,             0.81688,            0.016404,           0.0060371,          0.00053732,            0.006898,            0.006898,            0.006898
                  49,            0.018347,           0.0097355,          0.00069614,             0.98462,             0.99216,             0.99447,             0.83031,            0.015819,           0.0059206,          0.00050467,            0.006832,            0.006832,            0.006832
                  50,            0.018389,           0.0096093,          0.00064143,             0.98677,             0.99573,             0.99457,              0.8289,            0.016395,           0.0060494,          0.00051414,            0.006766,            0.006766,            0.006766
                  51,            0.017618,           0.0095224,          0.00066473,             0.98192,             0.99573,             0.99464,             0.82621,             0.01586,           0.0059139,          0.00052816,              0.0067,              0.0067,              0.0067
                  52,            0.018065,           0.0093992,          0.00067178,             0.98513,             0.99078,             0.99447,             0.81977,            0.016551,           0.0060414,          0.00049801,            0.006634,            0.006634,            0.006634
                  53,            0.018284,           0.0094053,          0.00073732,             0.98781,              0.9892,             0.99464,             0.82707,             0.01591,            0.006012,          0.00048526,            0.006568,            0.006568,            0.006568
                  54,            0.018354,           0.0094447,          0.00065759,              0.9792,             0.98442,             0.98989,             0.83861,            0.015609,           0.0059933,           0.0005102,            0.006502,            0.006502,            0.006502
                  55,            0.017677,           0.0093384,          0.00057394,             0.98263,             0.99573,              0.9944,             0.83436,            0.016119,           0.0058587,          0.00045752,            0.006436,            0.006436,            0.006436
                  56,            0.017591,           0.0092372,          0.00062761,             0.98597,             0.99325,             0.99461,             0.83062,            0.016213,           0.0058907,          0.00049827,             0.00637,             0.00637,             0.00637
                  57,            0.017671,           0.0092695,          0.00058555,             0.98388,             0.99495,             0.99457,              0.8289,            0.015915,           0.0060067,          0.00046277,            0.006304,            0.006304,            0.006304
                  58,            0.017878,           0.0092613,           0.0006187,             0.98356,             0.99177,             0.99458,             0.82804,            0.016609,           0.0060033,          0.00042398,            0.006238,            0.006238,            0.006238
                  59,            0.017711,           0.0092979,          0.00059148,             0.98383,             0.98926,             0.99438,             0.83101,            0.015572,            0.006119,          0.00042984,            0.006172,            0.006172,            0.006172
                  60,            0.017468,           0.0092685,           0.0006077,             0.98921,             0.97843,             0.99109,             0.83199,            0.015959,           0.0059085,          0.00043422,            0.006106,            0.006106,            0.006106
                  61,            0.017041,           0.0090515,          0.00057598,             0.98519,             0.98776,             0.99435,             0.83439,            0.016071,           0.0060217,          0.00043834,             0.00604,             0.00604,             0.00604
                  62,            0.016893,           0.0088297,          0.00057609,             0.98646,              0.9859,              0.9943,             0.83349,            0.015659,           0.0061203,          0.00041654,            0.005974,            0.005974,            0.005974
                  63,            0.016863,           0.0093245,          0.00064384,             0.98727,             0.98718,             0.99399,             0.82987,            0.015479,           0.0061135,          0.00042205,            0.005908,            0.005908,            0.005908
                  64,            0.016737,           0.0090976,          0.00061647,             0.98809,             0.98865,             0.99444,             0.83302,            0.015974,           0.0057311,          0.00039924,            0.005842,            0.005842,            0.005842
                  65,            0.016356,           0.0090049,          0.00060756,             0.98834,             0.98504,             0.99319,             0.83339,            0.015666,           0.0062859,          0.00040087,            0.005776,            0.005776,            0.005776
                  66,            0.016816,           0.0089319,           0.0005934,             0.98838,             0.98423,             0.99331,             0.83535,            0.015526,           0.0059116,          0.00040463,             0.00571,             0.00571,             0.00571
                  67,            0.016436,           0.0088922,          0.00058501,             0.98778,             0.98932,             0.99354,             0.84091,            0.015638,           0.0057769,          0.00039071,            0.005644,            0.005644,            0.005644
                  68,            0.016867,           0.0091616,          0.00053887,             0.98821,             0.98504,             0.99355,             0.84138,            0.015552,            0.006144,          0.00038987,            0.005578,            0.005578,            0.005578
                  69,            0.016565,           0.0088655,          0.00052217,             0.98618,             0.98767,             0.99336,             0.83279,            0.015348,           0.0061675,          0.00037724,            0.005512,            0.005512,            0.005512
                  70,            0.016685,           0.0088465,          0.00053109,              0.9876,             0.99235,             0.99466,             0.83343,            0.015288,           0.0056595,           0.0004026,            0.005446,            0.005446,            0.005446
                  71,            0.016266,           0.0090814,          0.00052721,             0.98432,             0.99144,             0.99443,             0.82845,            0.015644,           0.0059024,          0.00039754,             0.00538,             0.00538,             0.00538
                  72,            0.016385,           0.0088885,          0.00052994,             0.98601,              0.9877,             0.99356,             0.83036,             0.01554,            0.006198,          0.00043153,            0.005314,            0.005314,            0.005314
                  73,            0.016503,           0.0090032,          0.00058723,               0.986,              0.9887,             0.99416,             0.83723,            0.015278,           0.0060247,          0.00039898,            0.005248,            0.005248,            0.005248
                  74,            0.016297,           0.0087171,           0.0005738,             0.98751,             0.98674,             0.99456,             0.83195,            0.015492,           0.0059611,           0.0004266,            0.005182,            0.005182,            0.005182
                  75,            0.015979,           0.0089763,          0.00055143,             0.98713,             0.98741,             0.99442,             0.83575,             0.01514,           0.0059097,           0.0003822,            0.005116,            0.005116,            0.005116
                  76,            0.015943,           0.0088082,          0.00054337,              0.9869,             0.99299,             0.99442,             0.83913,             0.01525,           0.0055786,          0.00036013,             0.00505,             0.00505,             0.00505
                  77,            0.016162,           0.0089294,          0.00049787,             0.98721,             0.98751,             0.99465,             0.83664,            0.015458,           0.0060053,          0.00037586,            0.004984,            0.004984,            0.004984
                  78,            0.016155,           0.0087761,          0.00053207,             0.98488,             0.99192,             0.99437,             0.84384,            0.015302,           0.0057381,           0.0003719,            0.004918,            0.004918,            0.004918
                  79,            0.015885,            0.008559,           0.0004999,              0.9956,             0.97966,             0.99313,             0.83799,            0.015432,           0.0058427,          0.00036358,            0.004852,            0.004852,            0.004852
                  80,            0.015518,           0.0084484,          0.00044734,               0.982,             0.99513,             0.99378,             0.83811,            0.015179,           0.0057055,          0.00036711,            0.004786,            0.004786,            0.004786
                  81,            0.015625,           0.0087744,          0.00044355,              0.9816,             0.99573,              0.9945,             0.84587,            0.015022,           0.0057986,          0.00037937,             0.00472,             0.00472,             0.00472
                  82,            0.015759,           0.0088858,          0.00055321,             0.98591,             0.98533,             0.99406,             0.84485,            0.014871,             0.00595,          0.00036908,            0.004654,            0.004654,            0.004654
                  83,            0.015522,           0.0085345,          0.00047506,             0.98263,             0.98876,              0.9931,              0.8386,            0.015105,           0.0061389,          0.00033419,            0.004588,            0.004588,            0.004588
                  84,            0.015491,           0.0085019,          0.00053867,             0.98434,             0.98872,              0.9943,             0.84418,            0.014941,           0.0058119,          0.00036796,            0.004522,            0.004522,            0.004522
                  85,            0.015488,           0.0086644,          0.00054688,             0.98834,             0.98583,             0.99393,             0.83562,            0.015004,            0.006018,          0.00038507,            0.004456,            0.004456,            0.004456
                  86,            0.015632,            0.008409,          0.00049818,             0.98851,             0.98504,             0.99407,             0.83835,            0.015009,           0.0060566,          0.00037782,             0.00439,             0.00439,             0.00439
                  87,            0.015598,           0.0087555,          0.00048803,             0.98922,             0.98249,             0.99445,             0.83478,            0.015182,           0.0061637,          0.00037219,            0.004324,            0.004324,            0.004324
                  88,            0.015588,           0.0087327,          0.00062695,             0.98758,             0.98502,              0.9943,             0.83822,             0.01532,           0.0060683,          0.00037372,            0.004258,            0.004258,            0.004258
                  89,            0.015328,            0.008601,          0.00052469,             0.98895,             0.98901,             0.99449,               0.838,             0.01546,           0.0059739,          0.00034948,            0.004192,            0.004192,            0.004192
                  90,            0.015421,           0.0084998,          0.00045781,             0.98691,             0.98718,             0.99463,             0.83764,            0.015222,           0.0060266,          0.00032359,            0.004126,            0.004126,            0.004126
                  91,            0.015253,           0.0082624,          0.00041242,             0.98776,             0.98688,             0.99423,             0.84252,            0.015028,           0.0058649,          0.00032637,             0.00406,             0.00406,             0.00406
                  92,            0.015183,           0.0085173,          0.00048653,             0.99103,             0.98265,             0.99414,             0.83627,            0.015025,            0.006251,          0.00036567,            0.003994,            0.003994,            0.003994
                  93,            0.015224,           0.0084989,          0.00051115,             0.98345,             0.98949,             0.99415,             0.84109,             0.01502,           0.0060443,          0.00033681,            0.003928,            0.003928,            0.003928
                  94,            0.015287,           0.0085881,          0.00043234,             0.99095,             0.98495,             0.99421,             0.84412,            0.014948,            0.005776,          0.00033097,            0.003862,            0.003862,            0.003862
