# TRAIN_ACC	VAL_ACC
0.0011	0.0020
0.0016	0.0027
0.0022	0.0030
0.0025	0.0061
0.0076	0.0061
0.0062	0.0028
0.0027	0.0027
0.0025	0.0027
0.0027	0.0033
0.0034	0.0053
0.0064	0.0144
0.0180	0.0223
0.0254	0.0362
0.0402	0.0446
0.0471	0.0474
0.0494	0.0495
0.0516	0.0516
0.0538	0.0549
0.0566	0.0586
0.0597	0.0616
0.0621	0.0634
0.0640	0.0657
0.0656	0.0681
0.0675	0.0705
0.0697	0.0728
0.0711	0.0731
0.0711	0.0713
0.0695	0.0696
0.0678	0.0680
0.0666	0.0674
