# TRAIN_ACC	VAL_ACC
0.0188	0.0121
0.0101	0.0094
0.0070	0.0108
0.0087	0.0152
0.0146	0.0268
0.0298	0.0564
0.0626	0.1181
0.1632	0.3212
0.3330	0.1158
0.1024	0.0569
0.0528	0.0389
0.0361	0.0309
0.0298	0.0266
0.0271	0.0246
0.0256	0.0238
0.0247	0.0234
0.0244	0.0233
0.0243	0.0235
0.0242	0.0240
0.0245	0.0238
